rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-27 14:49:40,1,1,20.21,83,37.34433299,127.1034847
2020-11-27 14:49:41,1,1,20.65,83,37.34410478,127.1034761
2020-11-27 14:49:42,1,1,20.65,83,37.34388081,127.1034694
2020-11-27 14:49:43,1,1,18.99,83,37.34366388,127.103465
2020-11-27 14:49:44,1,1,18.61,83,37.34345232,127.1034627
2020-11-27 14:49:45,1,1,18.43,82,37.34324369,127.1034574
2020-11-27 14:49:46,1,1,18.99,82,37.34303964,127.1034556
2020-11-27 14:49:47,1,1,19.18,82,37.34284219,127.1034555
2020-11-27 14:49:48,1,1,19.58,82,37.34264488,127.1034558
2020-11-27 14:49:49,1,1,18.61,82,37.34243579,127.10345490000002
2020-11-27 14:49:50,1,1,18.25,82,37.34224384,127.1034559
2020-11-27 14:49:51,1,1,17.89,81,37.3420451,127.1034584
2020-11-27 14:49:52,1,1,18.43,81,37.34185363,127.103461
2020-11-27 14:49:53,1,1,17.22,80,37.34166156,127.1034637
2020-11-27 14:49:54,1,1,16.15,79,37.34147114,127.1034652
2020-11-27 14:49:55,1,1,15.45,78,37.34128187,127.103466
2020-11-27 14:49:56,1,1,15.18,77,37.34108875,127.1034656
2020-11-27 14:49:57,1,1,13.96,72,37.34090628,127.1034645
2020-11-27 14:49:58,1,1,13.63,70,37.34073944,127.1034625
2020-11-27 14:49:59,1,1,13.52,63,37.34058106,127.1034605
2020-11-27 14:50:00,1,1,13.52,60,37.34043966,127.10345900000002
2020-11-27 14:50:01,1,1,14.67,58,37.34029965,127.1034571
2020-11-27 14:50:02,1,1,14.92,57,37.34014401,127.1034537
2020-11-27 14:50:03,1,1,16.15,57,37.33998895,127.1034517
2020-11-27 14:50:04,1,1,16.59,57,37.33981344,127.1034523
2020-11-27 14:50:05,1,1,17.72,59,37.33962772,127.1034529
2020-11-27 14:50:06,1,1,17.55,60,37.33943601,127.1034516
2020-11-27 14:50:07,1,1,17.06,60,37.33925092,127.1034492
2020-11-27 14:50:08,1,1,17.39,61,37.33908009,127.1034466
2020-11-27 14:50:09,1,1,17.39,61,37.33890884,127.1034439
2020-11-27 14:50:10,1,1,15.86,62,37.33875282,127.1034428
2020-11-27 14:50:11,1,1,14.19,60,37.33860403,127.1034435
2020-11-27 14:50:12,1,1,13.31,58,37.33845898,127.10344209999998
2020-11-27 14:50:13,1,1,12.32,55,37.33832394,127.103439
2020-11-27 14:50:14,1,1,12.32,51,37.33819862,127.1034356
2020-11-27 14:50:15,0,1,12.6,49,37.33808213,127.1034327
2020-11-27 14:50:16,1,1,13.0,47,37.33797145,127.1034305
2020-11-27 14:50:17,1,1,13.2,46,37.3378579,127.1034278
2020-11-27 14:50:18,0,1,14.55,47,37.33775184,127.1034237
2020-11-27 14:50:19,1,1,15.45,49,37.3376472,127.1034206
2020-11-27 14:50:20,1,1,17.06,51,37.33753071,127.1034207
2020-11-27 14:50:21,1,1,18.25,52,37.33740609,127.1034219
2020-11-27 14:50:22,1,1,18.07,56,37.33729329,127.1034336
2020-11-27 14:50:23,1,1,19.38,58,37.33715927,127.1034508
2020-11-27 14:50:24,1,1,19.38,60,37.33703374,127.1034654
2020-11-27 14:50:25,1,1,18.99,62,37.33690028,127.1034792
2020-11-27 14:50:26,1,1,18.61,63,37.33674889,127.1034913
2020-11-27 14:50:27,1,1,16.75,64,37.33659929,127.1034965
2020-11-27 14:50:28,1,1,14.55,62,37.33644941,127.1035039
2020-11-27 14:50:29,1,1,13.31,59,37.33631768,127.1035105
2020-11-27 14:50:30,1,1,11.37,55,37.33621431,127.103515
2020-11-27 14:50:31,1,1,9.41,51,37.33611582,127.103518
2020-11-27 14:50:32,1,1,8.47,44,37.3360502,127.1035179
