rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-30 21:32:44,1,1,30.9,102,37.37539419,127.1030865
2020-11-30 21:32:45,1,1,31.37,102,37.37514488,127.1030892
2020-11-30 21:32:46,1,1,32.34,102,37.37489823,127.10309129999999
2020-11-30 21:32:47,1,1,30.45,103,37.37477379,127.1031237
2020-11-30 21:32:48,1,1,30.45,103,37.37451591,127.1031253
2020-11-30 21:32:49,1,1,23.11,1,37.37426007,127.1031264
2020-11-30 21:32:50,1,1,21.1,103,37.37400384,127.10312549999999
2020-11-30 21:32:51,1,1,26.49,102,37.3737494,127.1031245
2020-11-30 21:32:52,1,1,28.34,99,37.37349455,127.10311909999999
2020-11-30 21:32:53,1,1,26.85,98,37.37314065,127.1030997
2020-11-30 21:32:54,1,1,26.49,97,37.37290385,127.10309950000001
2020-11-30 21:32:55,1,1,28.34,97,37.3726671,127.10309960000001
2020-11-30 21:32:56,1,1,24.24,96,37.37243708,127.10309950000001
2020-11-30 21:32:57,1,1,22.57,94,37.37220648,127.10310049999998
2020-11-30 21:32:58,1,1,22.32,92,37.37198104,127.103102
2020-11-30 21:32:59,1,1,23.11,91,37.3718283,127.10311090000002
2020-11-30 21:33:00,1,1,23.11,90,37.37160823,127.10311200000001
2020-11-30 21:33:01,1,1,22.06,89,37.37132574,127.1031072
2020-11-30 21:33:02,1,1,20.42,88,37.37110793,127.10311019999999
2020-11-30 21:33:03,1,1,22.06,87,37.37089485,127.1031128
2020-11-30 21:33:04,1,1,22.57,87,37.37068457,127.10311409999998
2020-11-30 21:33:05,1,1,22.32,87,37.37053895,127.1031138
2020-11-30 21:33:06,1,1,23.66,87,37.37032917,127.1031132
2020-11-30 21:33:07,1,1,22.57,86,37.37011995,127.103113
2020-11-30 21:33:08,1,1,24.24,86,37.36991071,127.10311920000001
2020-11-30 21:33:09,1,1,17.89,86,37.36963222,127.1031153
2020-11-30 21:33:10,1,1,19.18,86,37.36942262,127.1031125
2020-11-30 21:33:11,1,1,,86,37.36920772,127.10311399999999
2020-11-30 21:33:12,1,1,,84,37.36899924,127.10311409999998
2020-11-30 21:33:13,1,1,20.21,82,37.36886542,127.10312759999998
2020-11-30 21:33:14,1,1,20.65,80,37.36859813,127.10311029999998
2020-11-30 21:33:15,1,1,19.38,78,37.36840436,127.10310859999998
2020-11-30 21:33:16,1,1,19.18,77,37.36825602,127.1031228
2020-11-30 21:33:17,1,1,18.99,76,37.36806461,127.1031187
2020-11-30 21:33:18,1,1,16.9,75,37.36787656,127.1031145
2020-11-30 21:33:19,1,1,17.55,74,37.36766296,127.1031067
2020-11-30 21:33:20,1,1,15.72,72,37.3674891,127.10310729999999
2020-11-30 21:33:21,1,1,,68,37.36732435,127.103108
2020-11-30 21:33:22,1,1,,65,37.36716616,127.10310919999999
