dt,provider,device_name,latitude,longtitude,altitude,speed,accuracy,time_utc
2020-11-27 14:46:44,gps,device0,37.38746424,127.1024865,90.53603779,101.42233,8,1610000000000.0
2020-11-27 14:46:45,gps,device0,37.38722405,127.10253090000002,90.71072954,99.71741,8,1610000000000.0
2020-11-27 14:46:46,gps,device0,37.38698552,127.1025717,90.95159635,98.14518000000001,8,1610000000000.0
2020-11-27 14:46:47,gps,device0,37.3867482,127.102616,91.21504321,96.83870999999999,8,1610000000000.0
2020-11-27 14:46:48,gps,device0,37.38650391,127.1026602,91.44099626,98.621765,8,1610000000000.0
2020-11-27 14:46:49,gps,device0,37.386255299999995,127.10270590000002,91.64023718,98.90916,8,1610000000000.0
2020-11-27 14:46:50,gps,device0,37.38600264,127.1027568,91.80989985,100.162285,8,1610000000000.0
2020-11-27 14:46:51,gps,device0,37.3857508,127.10280459999998,91.93857221,99.46137,8,1610000000000.0
2020-11-27 14:46:52,gps,device0,37.38549637,127.1028462,91.97606074,100.38121,8,1610000000000.0
2020-11-27 14:46:53,gps,device0,37.38524182,127.10289240000002,91.97562966,101.41433,8,1610000000000.0
2020-11-27 14:46:54,gps,device0,37.38499095,127.1029389,91.99157491,100.937935,8,1610000000000.0
2020-11-27 14:46:55,gps,device0,37.38473933,127.1029822,92.03846808,100.55115500000001,8,1610000000000.0
2020-11-27 14:46:56,gps,device0,37.38448476,127.1030162,92.01995339,103.14591999999999,6,1610000000000.0
2020-11-27 14:46:57,gps,device0,37.38422803,127.1030467,92.01662074,101.926956,6,1610000000000.0
2020-11-27 14:46:58,gps,device0,37.38397157,127.10307250000001,92.03199054,101.90564,6,1610000000000.0
2020-11-27 14:46:59,gps,device0,37.38371148,127.103095,92.03624464,102.58928,6,1610000000000.0
2020-11-27 14:47:00,gps,device0,37.38345176,127.10311259999999,92.03189634,102.15966,6,1610000000000.0
2020-11-27 14:47:01,gps,device0,37.38319427,127.1031222,92.03595737,102.019356,6,1610000000000.0
2020-11-27 14:47:02,gps,device0,37.38294426,127.1031314,92.04559861,99.49843,6,1610000000000.0
2020-11-27 14:47:03,gps,device0,37.38270222,127.1031393,92.07909486,98.767395,6,1610000000000.0
2020-11-27 14:47:04,gps,device0,37.38246193,127.10313899999998,92.08448892,98.95884000000001,6,1610000000000.0
2020-11-27 14:47:05,gps,device0,37.38221818,127.1031386,91.9807323,100.46204,6,1610000000000.0
2020-11-27 14:47:06,gps,device0,37.38196917,127.10314209999999,91.89395537,100.03926,6,1610000000000.0
2020-11-27 14:47:07,gps,device0,37.38172075,127.10314609999999,91.79729037,99.62725999999999,6,1610000000000.0
2020-11-27 14:47:08,gps,device0,37.38146525,127.10314869999999,91.55119722,103.2311,6,1610000000000.0
2020-11-27 14:47:09,gps,device0,37.38119515,127.1031498,91.39663443,105.12881000000002,12,1610000000000.0
2020-11-27 14:47:10,gps,device0,37.38093417,127.103148,91.20698684,105.44136,6,1610000000000.0
2020-11-27 14:47:11,gps,device0,37.38065714,127.10314939999999,91.08202715,107.09671999999999,12,1610000000000.0
2020-11-27 14:47:12,gps,device0,37.38038969,127.103145,90.82229275,106.02362,6,1610000000000.0
2020-11-27 14:47:13,gps,device0,37.38012339,127.1031433,90.57820975,106.18938,6,1610000000000.0
2020-11-27 14:47:14,gps,device0,37.37985987,127.1031415,90.35693104,104.840294,6,1610000000000.0
2020-11-27 14:47:15,gps,device0,37.37959781,127.10314009999999,90.15610998,104.94723,6,1610000000000.0
2020-11-27 14:47:16,gps,device0,37.37932785,127.1031426,90.06081754,104.46670999999999,8,1610000000000.0
2020-11-27 14:47:17,gps,device0,37.37905738,127.10314809999998,90.04350563,104.70450600000001,8,1610000000000.0
2020-11-27 14:47:18,gps,device0,37.37879629,127.10315609999999,90.00994733,105.92963,6,1610000000000.0
2020-11-27 14:47:19,gps,device0,37.37853346,127.1031551,89.95471265,108.18546,6,1610000000000.0
2020-11-27 14:47:20,gps,device0,37.37826592,127.10315659999999,89.88279242,107.994545,6,1610000000000.0
2020-11-27 14:47:21,gps,device0,37.37799507,127.1031605,89.77126712,107.77488999999998,6,1610000000000.0
2020-11-27 14:47:22,gps,device0,37.37772633,127.1031624,89.64192284,106.47269399999999,6,1610000000000.0
2020-11-27 14:47:23,gps,device0,37.37746364,127.1031554,89.51409912,104.07379,6,1610000000000.0
2020-11-27 14:47:24,gps,device0,37.37720525,127.1031517,89.37911521,104.56593000000001,6,1610000000000.0
2020-11-27 14:47:25,gps,device0,37.37694039,127.1031476,89.21234283,107.57825,6,1610000000000.0
2020-11-27 14:47:26,gps,device0,37.37667231,127.1031429,89.03343623,105.80763,6,1610000000000.0
2020-11-27 14:47:27,gps,device0,37.37640767,127.10313889999999,88.85321809,105.13501000000001,6,1610000000000.0
